ID,CAS,Name,logDow,logKlip/w-neutral,logKlip/w-ionic,logDlip/w-(pH 7.40),SMILES,MolWt,HeavyAtomCount,RotatableBondCount,HBD,HBA,RingCount,Molecule_Index_in_SDF,IsValid,J
259,000130-95-0,quinine,0.86,2.72,2.19,2.2,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.4240000000001,24,4,1,4,5,259,True,
260,089365-50-4,salmeterol,1.95,0,3.67,3.67,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,415.5740000000002,30,16,4,5,2,260,True,
261,018198-39-5,Tetraphenyl-phosphonium,6.08,0,1.37,1.37,c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,339.3980000000001,25,4,0,0,4,261,True,
262,002933-94-0,toliprolol,-0.12,0,1.49,1.49,Cc1cccc(OCC(O)CNC(C)C)c1,223.316,16,6,2,3,1,262,True,
263,004901-51-3,"2,3,4,5-tetrachlorophenol",3.02,4.76,3.69,3.77,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,231.89299999999997,11,0,1,1,1,263,True,
264,002131-41-1,"1,4,5-Trimethylnaphthalene",4.9,5.11,0,5.11,Cc1ccc(C)c2c(C)cccc12,170.25499999999994,13,0,0,0,2,264,True,
265,017057-91-9,"2,4,5-Trimethylnaphthalene",4.81,4.88,0,4.88,Cc1cc(C)c2c(C)cccc2c1,170.25499999999994,13,0,0,0,2,265,True,
266,004569-45-3,"9,9-Dimethylfluorene",4.6,5.01,0,5.01,CC1(C)c2ccccc2-c2ccccc21,194.277,15,0,0,0,3,266,True,
267,000832-71-3,3-Methylphenanthrene,4.86,5.24,0,5.24,Cc1ccc2ccc3ccccc3c2c1,192.26099999999997,15,0,0,0,3,267,True,
268,001576-67-6,"3,6-Dimethylphenanthrene",5.44,5.58,0,5.58,Cc1ccc2ccc3ccc(C)cc3c2c1,206.28799999999995,16,0,0,0,3,268,True,
269,000779-02-2,9-Methylanthracene,5.07,5.52,0,5.52,Cc1c2ccccc2cc2ccccc12,192.26099999999994,15,0,0,0,3,269,True,
270,000781-43-1,"9,10-Dimethylanthracene",5.69,5.57,0,5.57,Cc1c2ccccc2c(C)c2ccccc12,206.28799999999995,16,0,0,0,3,270,True,
271,002381-21-7,1-Methylpyrene,5.48,5.76,0,5.76,Cc1ccc2ccc3cccc4ccc1c2c34,216.283,17,0,0,0,4,271,True,
272,002541-69-7,7-Methylbenz[a]anthracene,6.07,6,0,6,Cc1c2ccccc2cc2c1ccc1ccccc12,242.32099999999997,19,0,0,0,4,272,True,
273,000057-97-6,"7,12-Dimethylbenz[a]anthracene",5.8,6.27,0,6.27,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,256.34799999999996,20,0,0,0,4,273,True,
274,000094-75-7,"2,4-dichloro-phenoxyacetic acid",-0.99,3.6,1.7,1.7,O=C(O)COc1ccc(Cl)cc1Cl,221.03900000000002,13,3,1,2,1,274,True,
275,000573-56-8,"2,6-dinitrophenol",-0.32,2.03,1.86,1.86,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,184.107,13,2,1,5,1,275,True,
276,000095-57-8,2-chlorophenol,2.17,2.76,0.92,2.37,Oc1ccccc1Cl,128.558,8,0,1,1,1,276,True,
277,001420-07-1,"2-tert-butyl-4,6-dinitrophenol",1.28,4.1,3.59,3.59,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,240.21499999999997,17,2,1,5,1,277,True,
278,000609-19-8,"3,4,5-trichlorophenol",3.32,4.71,3.16,4.23,Oc1cc(Cl)c(Cl)c(Cl)c1,197.44799999999998,10,0,1,1,1,278,True,
279,000577-71-9,"3,4-dinitrophenol",0.02,3.17,1.9,1.93,O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],184.10699999999997,13,2,1,5,1,279,True,
280,000591-35-5,"3,5-dichlorophenol",2.79,3.76,2.09,3.46,Oc1cc(Cl)cc(Cl)c1,163.003,9,0,1,1,1,280,True,
281,002338-29-6,"4,5,6,7-tetrachloro-2-(trifluoromethyl)-1H-benzimidazole",4.84,4.35,4.35,4.35,FC(F)(F)c1nc2c(Cl)c(Cl)c(Cl)c(Cl)c2[nH]1,323.91599999999994,17,0,1,1,2,281,True,
282,000609-93-8,"4-methyl-2,6-dinitrophenol",0.2,2.34,2.26,2.26,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,198.134,14,2,1,5,1,282,True,
283,006149-03-7,4-octylbenzene-1-sulfonate,-0.77,0,3.63,3.63,CCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,269.3859999999999,18,8,0,3,1,283,True,
284,004097-49-8,"4-tert-butyl-2,6-dinitrophenol",1.23,3.81,3.23,3.23,CC(C)(C)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,240.21499999999997,17,2,1,5,1,284,True,
285,002338-25-2,"5,6-dichloro-2-(trifluoromethyl)-benzimidazole",3.71,3.05,3.05,3.05,FC(F)(F)c1nc2cc(Cl)c(Cl)cc2[nH]1,255.02599999999995,15,0,1,1,2,285,True,
286,000521-74-4,"5,7-dibromo-8-hydroxyquinoline",2.91,3.94,3.03,3.35,Oc1c(Br)cc(Br)c2cccnc12,302.953,13,0,1,2,2,286,True,
287,000773-76-2,"5,7-dichloro-8-hydroxyquinoline",2.46,3.35,2.47,2.7,Oc1c(Cl)cc(Cl)c2cccnc12,214.051,13,0,1,2,2,287,True,
288,016128-96-4,5-chloro-4-tert-butyl-2'-chloro-4'-nitrosalicylanilide,5.22,6.44,5.05,5.86,CC(C)(C)c1cc(O)c(C(=O)Nc2ccc([N+](=O)[O-])cc2Cl)cc1Cl,383.2310000000001,25,3,2,4,2,288,True,
289,000130-16-5,5-chloro-8-hydroxyquinoline,2.39,3.29,1.91,3.16,Oc1ccc(Cl)c2cccnc12,179.60599999999997,12,0,1,2,2,289,True,
290,000148-24-3,8-hydroxy-quinoline,1.82,2.17,1.47,2.16,Oc1cccc2cccnc12,145.16099999999997,11,0,1,2,2,290,True,
291,000555-60-2,carbonyl cyanide m-chlorophenyl-hydrazone,3.19,4.05,4.05,4.05,N#CC=NNc1cccc(Cl)c1,179.60999999999999,12,2,1,3,1,291,True,
292,000370-86-5,carbonyl cyanide p-methoxyphenylhydrazone,4.02,4.22,4.22,4.22,COc1ccc(NN=CC#N)cc1,175.19099999999997,13,3,1,4,1,292,True,
293,022494-42-4,diflunisal,0.41,0,2.73,2.73,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,250.19999999999996,18,2,2,2,2,293,True,
294,000091-40-7,fenamic acid,1.15,0,2.28,2.28,O=C(O)c1ccccc1Nc1ccccc1,213.236,16,3,2,2,2,294,True,
295,000530-78-9,flufenamic acid,2.02,0,3.61,3.61,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,281.23299999999995,20,3,2,2,2,295,True,
296,000124-07-2,octanoic acid,0.51,2.91,0.52,0.53,CCCCCCCC(=O)O,144.214,10,6,1,1,0,296,True,
297,000608-71-9,pentabromo-phenol,3.62,0,5.02,5.02,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,488.59299999999996,12,0,1,1,1,297,True,
298,000771-61-9,pentafluoro-phenol,0.9,0,1.74,1.74,Oc1c(F)c(F)c(F)c(F)c1F,184.06299999999996,12,0,1,1,1,298,True,
299,001763-23-1,perfluorooctane-1-sulfonic acid,3.05,0,3.15,3.15,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,500.1259999999998,29,7,1,2,0,299,True,
300,000335-67-1,perfluorooctanoic acid,1.58,0,2.34,2.34,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,414.06399999999985,25,6,1,1,0,300,True,
301,001198-55-6,tetrachloro-catechol,2.69,4.41,2.63,2.74,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,247.89199999999997,12,0,2,2,1,301,True,
302,004358-26-3,tetraphenylborate,5.91,0,5.2,5.2,c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,319.236,25,4,0,0,4,302,True,
303,000935-95-5,"2,3,5,6-tetrachloro-phenol",2.29,0,3.49,3.49,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,231.893,11,0,1,1,1,303,True,
304,020574-50-9,morantel,0.11,0,2,2,Cc1ccsc1/C=C/C1=NCCCN1C,220.341,15,2,0,3,2,304,True,
305,051384-51-1,metoprolol,-0.47,0,1.28,1.28,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.36899999999997,19,9,2,4,1,305,True,
306,000606-20-2,"2,6-dinitro-toluene (2,6-DNT)",2.1,2.64,0,2.64,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],182.135,13,2,0,4,1,306,True,
