ID,CAS,Name,logDow,logKlip/w-neutral,logKlip/w-ionic,logDlip/w-(pH 7.40),SMILES,MolWt,HeavyAtomCount,RotatableBondCount,HBD,HBA,RingCount,Molecule_Index_in_SDF,IsValid,J
140,042087-80-9,methyl-4-chloro-2-nitrobenzoate,2.35,2.45,0,2.45,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],215.59199999999998,14,2,0,4,1,140,True,
141,000108-95-2,phenol,1.46,1.96,0,1.96,Oc1ccccc1,94.11299999999999,7,0,1,1,1,141,True,
142,000095-48-7,2-methylphenol,1.95,2.45,0,2.45,Cc1ccccc1O,108.14,8,0,1,1,1,142,True,
143,000108-39-4,3-methylphenol,1.96,2.34,0,2.34,Cc1cccc(O)c1,108.13999999999999,8,0,1,1,1,143,True,
144,000106-44-5,4-methylphenol,1.94,2.35,0,2.35,Cc1ccc(O)cc1,108.13999999999999,8,0,1,1,1,144,True,
145,000090-00-6,2-ethylphenol,2.47,2.81,0,2.81,CCc1ccccc1O,122.167,9,1,1,1,1,145,True,
146,000123-07-9,4-ethylphenol,2.58,2.79,0,2.79,CCc1ccc(O)cc1,122.16699999999999,9,1,1,1,1,146,True,
147,000576-26-1,"2,6-dimethylphenol",2.36,2.47,0,2.47,Cc1cccc(C)c1O,122.167,9,0,1,1,1,147,True,
148,000644-35-9,2-n-propylphenol,2.93,3.13,0,3.13,CCCc1ccccc1O,136.19400000000002,10,2,1,1,1,148,True,
149,000645-56-7,4-n-propylphenol,3.2,2.92,0,2.92,CCCc1ccc(O)cc1,136.194,10,2,1,1,1,149,True,
150,000099-89-8,4-isopropylphenol,2.9,3.25,0,3.25,CC(C)c1ccc(O)cc1,136.194,10,1,1,1,1,150,True,
151,000527-54-8,"3,4,5-trimethylphenol",3.15,2.66,0,2.66,Cc1cc(O)cc(C)c1C,136.19399999999996,10,0,1,1,1,151,True,
152,001638-22-8,4-n-butylphenol,3.65,3.13,0,3.13,CCCCc1ccc(O)cc1,150.22099999999998,11,3,1,1,1,152,True,
153,000089-72-5,2-sec-butylphenol,3.27,3.47,0,3.47,CCC(C)c1ccccc1O,150.22099999999998,11,2,1,1,1,153,True,
154,000099-71-8,4-sec-butylphenol,3.08,3.26,0,3.26,CCC(C)c1ccc(O)cc1,150.22099999999998,11,2,1,1,1,154,True,
155,000088-18-6,2-tert-butylphenol,3.31,3.51,0,3.51,CC(C)(C)c1ccccc1O,150.221,11,0,1,1,1,155,True,
156,000585-34-2,3-tert-butylphenol,3.3,3.25,0,3.25,CC(C)(C)c1cccc(O)c1,150.22099999999998,11,0,1,1,1,156,True,
157,000098-54-4,4-tert-butylphenol,3.31,3.48,0,3.48,CC(C)(C)c1ccc(O)cc1,150.22099999999998,11,0,1,1,1,157,True,
158,001006-59-3,"2,6-diethylphenol",3.03,2.73,0,2.73,CCc1cccc(CC)c1O,150.221,11,2,1,1,1,158,True,
159,014938-35-3,4-n-pentylphenol,4.06,4.31,0,4.31,CCCCCc1ccc(O)cc1,164.24799999999996,12,4,1,1,1,159,True,
160,000080-46-6,4-tert-amylphenol,3.91,3.54,0,3.54,CCC(C)(C)c1ccc(O)cc1,164.24799999999996,12,2,1,1,1,160,True,
161,000140-66-9,4-tert-octylphenol,5.28,5.39,0,5.39,CC(C)(C)CC(C)(C)c1ccc(O)cc1,206.32899999999995,15,2,1,1,1,161,True,
162,000104-40-5,4-n-nonylphenol,5.76,5.57,0,5.57,CCCCCCCCCc1ccc(O)cc1,220.3559999999999,16,8,1,1,1,162,True,
163,001745-81-9,2-allylphenol,2.91,3.06,0,3.06,C=CCc1ccccc1O,134.178,10,2,1,1,1,163,True,
164,000098-17-9,3-trifluoromethylphenol,2.95,3.25,0,3.25,Oc1cccc(C(F)(F)F)c1,162.10999999999999,11,0,1,1,1,164,True,
165,000090-43-7,2-phenylphenol,3.09,3.43,0,3.43,Oc1ccccc1-c1ccccc1,170.211,13,1,1,1,2,165,True,
166,000092-69-3,4-phenylphenol,3.2,3.52,0,3.52,Oc1ccc(-c2ccccc2)cc1,170.211,13,1,1,1,2,166,True,
167,000080-05-7,bisphenol A,3.32,3.92,0,3.92,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,228.291,17,2,2,2,2,167,True,
168,000084-16-2,meso-hexestrol,5.6,4.37,0,4.37,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,270.37199999999996,20,5,2,2,2,168,True,
169,000084-17-3,dienestrol,5.32,4.83,0,4.83,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,266.34,20,3,2,2,2,169,True,
170,000056-53-1,diethylstilbestrol,5.07,4.76,0,4.76,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356,20,4,2,2,2,170,True,
171,000108-43-0,3-chlorophenol,2.5,2.78,0,2.78,Oc1cccc(Cl)c1,128.558,8,0,1,1,1,171,True,
172,000106-48-9,4-chlorophenol,2.26,2.73,2.51,2.72,Oc1ccc(Cl)cc1,128.558,8,0,1,1,1,172,True,
173,000059-50-7,3-methyl-4-chlorophenol,3.1,3.32,0,3.32,Cc1cc(O)ccc1Cl,142.58499999999998,9,0,1,1,1,173,True,
